,Income,enrolled_months,education_ordinary_domain,marital_status_ordinary_domain,age,Kidhome,Teenhome,children_number,Recency,MntWines,wines_perc,MntFruits,fruits_perc,MntMeatProducts,meat_perc,MntFishProducts,fish_perc,MntSweetProducts,sweet_perc,MntGoldProds,total_spent,NumDealsPurchases,NumWebPurchases,web_perc,NumCatalogPurchases,catalog_perc,NumStorePurchases,store_perc,total_purchases,spent_per_purchase,NumWebVisitsMonth,Complain,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,total_campaigns,Response
19,37040.0,90,2,1,38,0,0,0,41,86,32.09,2,0.75,73,27.24,69,25.75,38,14.18,48,268,1,4,36.36,2,18.18,5,45.45,11,24.36,8,0,0,0,0,0,0,0,0
20,2447.0,85,2,1,41,1,0,1,42,1,0.06,1,0.06,1725,99.77,1,0.06,1,0.06,1,1729,15,0,0.0,28,100.0,0,0.0,28,61.75,1,0,0,0,0,0,0,0,0
21,58607.0,86,4,1,71,0,1,1,63,867,90.98,0,0.0,86,9.02,0,0.0,0,0.0,19,953,3,2,14.29,3,21.43,9,64.29,14,68.07,8,0,0,0,0,1,0,1,0
22,65324.0,73,4,1,66,0,1,1,0,384,71.24,0,0.0,102,18.92,21,3.9,32,5.94,5,539,3,6,35.29,2,11.76,9,52.94,17,31.71,4,0,0,0,0,0,0,0,0
23,40689.0,83,2,0,69,0,1,1,69,270,78.26,3,0.87,27,7.83,39,11.3,6,1.74,99,345,7,7,53.85,1,7.69,5,38.46,13,26.54,8,0,0,0,0,0,0,0,0
24,18589.0,85,2,3,51,0,0,0,89,6,9.68,4,6.45,25,40.32,15,24.19,12,19.35,13,62,2,2,33.33,1,16.67,3,50.0,6,10.33,7,0,0,0,0,0,0,0,0
25,53359.0,81,2,1,44,1,1,2,4,173,80.09,4,1.85,30,13.89,3,1.39,6,2.78,41,216,4,5,50.0,1,10.0,4,40.0,10,21.6,7,0,0,0,0,0,0,0,0
26,38360.0,81,2,1,31,1,0,1,26,36,29.75,2,1.65,42,34.71,20,16.53,21,17.36,10,121,2,2,28.57,1,14.29,4,57.14,7,17.29,3,0,0,0,0,0,0,0,0
27,84618.0,75,4,1,55,0,0,0,96,684,40.91,100,5.98,801,47.91,21,1.26,66,3.95,0,1672,1,6,24.0,9,36.0,10,40.0,25,66.88,2,0,0,0,0,0,1,1,0
28,10979.0,69,3,2,31,0,0,0,34,8,30.77,4,15.38,10,38.46,2,7.69,2,7.69,4,26,2,3,50.0,0,0.0,3,50.0,6,4.33,5,0,0,0,0,0,0,0,0
29,38620.0,81,3,0,57,0,0,0,56,112,48.91,17,7.42,44,19.21,34,14.85,22,9.61,89,229,1,2,20.0,5,50.0,3,30.0,10,22.9,3,0,0,0,0,0,0,0,0
30,40548.0,88,2,0,50,0,1,1,31,110,94.02,0,0.0,5,4.27,2,1.71,0,0.0,3,117,2,2,28.57,1,14.29,4,57.14,7,16.71,5,0,0,0,0,1,0,1,0
31,46610.0,88,4,2,68,0,2,2,8,96,37.07,12,4.63,96,37.07,33,12.74,22,8.49,43,259,6,4,36.36,1,9.09,6,54.55,11,23.55,6,0,0,0,0,0,0,0,1
32,68657.0,84,3,1,74,0,0,0,4,482,41.06,34,2.9,471,40.12,119,10.14,68,5.79,22,1174,1,3,17.65,5,29.41,9,52.94,17,69.06,7,0,0,0,0,0,0,0,0
33,49389.0,78,3,3,69,1,1,2,55,40,64.52,0,0.0,19,30.65,2,3.23,1,1.61,3,62,1,2,40.0,0,0.0,3,60.0,5,12.4,7,0,0,0,0,0,0,0,0
34,67353.0,74,4,1,50,0,1,1,37,702,79.95,17,1.94,151,17.2,0,0.0,8,0.91,35,878,5,5,21.74,6,26.09,12,52.17,23,38.17,2,0,0,0,0,0,0,0,0
35,23718.0,77,1,1,44,1,0,1,76,6,13.33,3,6.67,14,31.11,15,33.33,7,15.56,36,45,3,3,50.0,1,16.67,2,33.33,6,7.5,7,0,0,0,0,0,0,0,0
36,42429.0,72,2,4,47,0,1,1,99,55,87.3,0,0.0,6,9.52,2,3.17,0,0.0,4,63,2,1,20.0,1,20.0,3,60.0,5,12.6,5,0,0,0,0,0,0,0,0
37,48948.0,84,4,2,77,0,0,0,53,437,50.81,8,0.93,206,23.95,160,18.6,49,5.7,42,860,2,7,31.82,10,45.45,5,22.73,22,39.09,6,0,0,0,1,0,0,1,1
38,80011.0,82,2,1,40,0,1,1,3,421,32.56,76,5.88,536,41.45,82,6.34,178,13.77,102,1293,2,8,42.11,6,31.58,5,26.32,19,68.05,4,0,0,0,0,0,0,0,0
39,20559.0,83,3,1,35,1,0,1,88,13,28.26,1,2.17,29,63.04,3,6.52,0,0.0,7,46,2,2,40.0,0,0.0,3,60.0,5,9.2,8,0,0,0,0,0,0,0,0
40,21994.0,86,2,0,63,0,1,1,4,9,47.37,0,0.0,6,31.58,3,15.79,1,5.26,3,19,1,0,0.0,0,0.0,3,100.0,3,6.33,5,0,0,0,0,0,0,0,0
41,7500.0,76,3,1,45,1,0,1,19,3,15.79,1,5.26,10,52.63,3,15.79,2,10.53,12,19,3,2,40.0,0,0.0,3,60.0,5,3.8,5,0,0,0,0,0,0,0,0
42,79941.0,68,2,3,44,0,0,0,72,123,15.19,164,20.25,266,32.84,227,28.02,30,3.7,174,810,1,2,13.33,4,26.67,9,60.0,15,54.0,1,0,0,0,0,0,0,0,0
43,7500.0,87,1,1,24,0,0,0,24,3,4.17,18,25.0,14,19.44,15,20.83,22,30.56,50,72,3,3,42.86,1,14.29,3,42.86,7,10.29,9,0,0,0,0,0,0,0,1
44,41728.0,81,2,0,52,1,0,1,92,13,30.95,6,14.29,15,35.71,3,7.14,5,11.9,13,42,1,2,50.0,0,0.0,2,50.0,4,10.5,10,0,0,0,0,0,0,0,0
45,72550.0,87,4,1,66,1,1,2,39,826,64.48,50,3.9,317,24.75,50,3.9,38,2.97,38,1281,9,5,26.32,2,10.53,12,63.16,19,67.42,8,0,0,0,0,0,0,0,0
46,65486.0,69,2,4,63,0,1,1,29,245,49.7,19,3.85,125,25.35,37,7.51,67,13.59,14,493,1,4,25.0,2,12.5,10,62.5,16,30.81,2,0,0,0,0,0,0,0,0
47,79143.0,90,3,1,56,0,0,0,2,650,39.13,37,2.23,780,46.96,27,1.63,167,10.05,32,1661,1,6,21.43,9,32.14,13,46.43,28,59.32,3,0,0,0,0,0,0,0,0
48,35790.0,85,2,3,43,1,0,1,54,12,17.39,6,8.7,20,28.99,30,43.48,1,1.45,3,69,2,2,40.0,0,0.0,3,60.0,5,13.8,7,0,0,0,0,0,0,0,0
49,82582.0,68,2,2,43,0,0,0,54,510,37.06,120,8.72,550,39.97,156,11.34,40,2.91,241,1376,1,4,20.0,9,45.0,7,35.0,20,68.8,1,0,1,0,1,0,0,2,1
50,66373.0,80,2,1,42,1,1,2,57,328,66.0,9,1.81,124,24.95,12,2.41,24,4.83,109,497,7,4,25.0,2,12.5,10,62.5,16,31.06,3,0,0,0,0,0,0,0,0
51,82384.0,87,3,0,65,0,0,0,55,984,55.69,51,2.89,432,24.45,180,10.19,120,6.79,190,1767,1,3,11.54,10,38.46,13,50.0,26,67.96,1,0,0,0,0,0,1,1,1
52,70287.0,82,2,2,54,0,0,0,30,295,28.02,35,3.32,482,45.77,121,11.49,120,11.4,40,1053,1,5,25.0,5,25.0,10,50.0,20,52.65,3,0,0,0,0,0,0,0,1
53,27938.0,70,2,3,32,1,0,1,31,13,54.17,0,0.0,8,33.33,2,8.33,1,4.17,5,24,1,1,20.0,0,0.0,4,80.0,5,4.8,3,0,0,0,0,0,0,0,0
54,55954.0,71,4,1,52,0,1,1,63,447,94.11,0,0.0,28,5.89,0,0.0,0,0.0,43,475,3,8,50.0,2,12.5,6,37.5,16,29.69,7,0,0,0,0,0,0,0,0
55,75777.0,79,3,3,38,0,0,0,12,712,52.43,26,1.91,538,39.62,69,5.08,13,0.96,80,1358,1,3,15.0,6,30.0,11,55.0,20,67.9,1,0,0,0,0,1,1,2,1
56,66653.0,89,2,0,45,1,1,2,18,452,74.59,18,2.97,102,16.83,16,2.64,18,2.97,6,606,4,4,22.22,2,11.11,12,66.67,18,33.67,3,0,0,0,0,0,0,0,0
57,61823.0,84,2,3,68,0,1,1,26,523,73.15,7,0.98,134,18.74,37,5.17,14,1.96,169,715,4,8,40.0,2,10.0,10,50.0,20,35.75,7,0,0,0,0,0,0,0,0
58,67680.0,80,4,4,69,0,1,1,8,546,91.0,0,0.0,48,8.0,0,0.0,6,1.0,6,600,1,7,38.89,3,16.67,8,44.44,18,33.33,5,0,0,0,0,0,0,0,0
59,70666.0,74,2,0,72,0,0,0,29,398,38.05,40,3.82,367,35.09,119,11.38,122,11.66,30,1046,1,7,46.67,4,26.67,4,26.67,15,69.73,4,0,0,0,0,0,0,0,0
60,25721.0,81,2,1,49,1,0,1,75,1,5.26,3,15.79,6,31.58,3,15.79,6,31.58,15,19,1,1,25.0,1,25.0,2,50.0,4,4.75,7,0,0,0,0,0,0,0,1
61,32474.0,69,2,0,53,1,1,2,0,10,90.91,0,0.0,1,9.09,0,0.0,0,0.0,0,11,1,1,33.33,0,0.0,2,66.67,3,3.67,7,0,0,0,0,0,0,0,0
62,88194.0,71,1,3,41,0,1,1,19,688,55.66,14,1.13,309,25.0,201,16.26,24,1.94,38,1236,1,11,35.48,10,32.26,10,32.26,31,39.87,5,0,1,0,1,0,0,2,1
63,69096.0,77,2,0,62,0,1,1,4,247,45.4,49,9.01,159,29.23,7,1.29,82,15.07,109,544,1,5,29.41,2,11.76,10,58.82,17,32.0,4,0,0,0,0,0,0,0,0
64,74854.0,82,2,0,50,1,2,3,90,856,57.49,59,3.96,487,32.71,58,3.9,29,1.95,73,1489,7,2,16.67,5,41.67,5,41.67,12,124.08,5,0,0,0,0,0,0,0,0
65,66991.0,89,3,1,66,0,0,0,1,496,39.97,36,2.9,460,37.07,189,15.23,60,4.83,12,1241,3,4,22.22,8,44.44,6,33.33,18,68.94,3,0,0,0,0,0,0,0,0
66,65031.0,83,2,1,61,0,1,1,29,258,33.2,107,13.77,291,37.45,84,10.81,37,4.76,86,777,4,10,38.46,3,11.54,13,50.0,26,29.88,7,0,0,0,0,0,0,0,0
67,60631.0,82,4,1,45,1,1,2,88,565,88.01,6,0.93,65,10.12,0,0.0,6,0.93,19,642,5,9,47.37,2,10.53,8,42.11,19,33.79,7,0,0,0,0,1,0,1,0
68,28332.0,70,2,1,68,0,0,0,58,14,25.0,10,17.86,13,23.21,4,7.14,15,26.79,9,56,1,2,28.57,1,14.29,4,57.14,7,8.0,2,0,0,0,0,0,0,0,0
69,40246.0,86,2,2,43,1,0,1,68,2,16.67,1,8.33,6,50.0,2,16.67,1,8.33,1,12,1,1,33.33,0,0.0,2,66.67,3,4.0,6,0,0,0,0,0,0,0,0
70,75251.0,90,3,1,48,0,0,0,34,721,38.51,111,5.93,925,49.41,97,5.18,18,0.96,18,1872,1,7,38.89,6,33.33,5,27.78,18,104.0,5,0,0,0,0,0,0,0,1
71,75825.0,88,2,3,44,0,0,0,40,1032,47.82,105,4.87,779,36.1,137,6.35,105,4.87,51,2158,0,5,22.73,8,36.36,9,40.91,22,98.09,4,0,0,0,1,0,0,1,1
72,26326.0,77,1,0,44,0,0,0,12,1,11.11,0,0.0,5,55.56,0,0.0,3,33.33,9,9,1,0,0.0,0,0.0,3,100.0,3,3.0,3,1,0,0,0,0,0,0,0
73,56046.0,85,2,0,55,0,0,0,9,577,90.02,0,0.0,64,9.98,0,0.0,0,0.0,51,641,2,10,52.63,1,5.26,8,42.11,19,33.74,8,0,0,0,1,0,0,1,1
74,29760.0,90,2,3,35,1,0,1,87,64,43.24,4,2.7,68,45.95,7,4.73,5,3.38,17,148,4,3,37.5,1,12.5,4,50.0,8,18.5,8,0,0,0,0,0,0,0,0
75,26304.0,80,2,1,51,1,0,1,5,4,33.33,1,8.33,5,41.67,2,16.67,0,0.0,4,12,1,1,33.33,0,0.0,2,66.67,3,4.0,7,0,0,0,0,0,0,0,0
76,23559.0,79,1,1,47,1,0,1,87,25,44.64,5,8.93,19,33.93,7,12.5,0,0.0,23,56,3,3,50.0,0,0.0,3,50.0,6,9.33,7,0,0,0,0,0,0,0,0
77,38620.0,81,3,0,57,0,0,0,56,112,48.91,17,7.42,44,19.21,34,14.85,22,9.61,89,229,1,2,20.0,5,50.0,3,30.0,10,22.9,3,0,0,0,0,0,0,0,0
78,81361.0,72,2,2,33,0,0,0,18,163,23.22,23,3.28,424,60.4,27,3.85,65,9.26,76,702,1,3,11.54,10,38.46,13,50.0,26,27.0,1,0,0,0,0,0,0,0,0
79,29440.0,78,2,1,60,1,1,2,95,17,32.08,8,15.09,14,26.42,10,18.87,4,7.55,3,53,2,1,20.0,0,0.0,4,80.0,5,10.6,7,0,0,0,0,0,0,0,0
80,36138.0,79,3,1,50,1,1,2,48,130,89.04,0,0.0,16,10.96,0,0.0,0,0.0,5,146,5,3,37.5,1,12.5,4,50.0,8,18.25,7,0,0,0,0,1,0,1,0
81,50388.0,69,2,3,63,0,1,1,3,292,86.39,6,1.78,37,10.95,0,0.0,3,0.89,34,338,4,6,46.15,1,7.69,6,46.15,13,26.0,7,0,1,0,0,1,0,2,1
82,79593.0,69,2,1,47,0,0,0,70,350,28.67,60,4.91,568,46.52,110,9.01,133,10.89,145,1221,1,5,27.78,6,33.33,7,38.89,18,67.83,2,0,0,0,0,0,1,1,0
83,54178.0,73,2,0,53,0,1,1,79,135,72.19,9,4.81,39,20.86,4,2.14,0,0.0,7,187,1,2,22.22,2,22.22,5,55.56,9,20.78,2,0,0,0,0,0,0,0,0
84,42394.0,71,3,3,48,1,0,1,69,15,53.57,2,7.14,10,35.71,0,0.0,1,3.57,4,28,1,1,25.0,0,0.0,3,75.0,4,7.0,7,0,0,0,0,0,0,0,0
85,23626.0,69,4,1,50,1,0,1,84,27,62.79,2,4.65,14,32.56,0,0.0,0,0.0,0,43,3,3,42.86,1,14.29,3,42.86,7,6.14,5,0,0,0,0,0,0,0,0
86,30096.0,69,2,1,37,1,0,1,30,5,13.89,3,8.33,11,30.56,12,33.33,5,13.89,9,36,1,2,40.0,0,0.0,3,60.0,5,7.2,6,0,0,0,0,0,0,0,0
87,47916.0,87,2,4,60,0,1,1,72,505,95.1,0,0.0,26,4.9,0,0.0,0,0.0,75,531,5,7,41.18,4,23.53,6,35.29,17,31.24,6,0,0,0,0,1,0,1,0
88,51813.0,82,2,2,48,1,1,2,37,51,83.61,2,3.28,7,11.48,0,0.0,1,1.64,2,61,2,2,40.0,0,0.0,3,60.0,5,12.2,7,0,0,0,0,0,0,0,0
89,78497.0,74,1,1,69,0,0,0,44,207,27.42,26,3.44,447,59.21,75,9.93,0,0.0,223,755,1,5,20.83,7,29.17,12,50.0,24,31.46,2,0,1,0,0,0,0,1,0
90,50150.0,80,4,1,37,0,0,0,32,135,33.83,46,11.53,92,23.06,65,16.29,61,15.29,11,399,2,5,35.71,2,14.29,7,50.0,14,28.5,5,0,0,0,0,0,0,0,0
91,47823.0,79,1,3,60,0,1,1,0,53,85.48,1,1.61,5,8.06,2,3.23,1,1.61,10,62,2,2,40.0,0,0.0,3,60.0,5,12.4,8,0,0,0,0,0,0,0,0
92,34554.0,71,4,3,61,0,1,1,43,41,82.0,1,2.0,6,12.0,2,4.0,0,0.0,5,50,2,2,40.0,0,0.0,3,60.0,5,10.0,6,0,0,0,0,0,0,0,0
93,85693.0,82,2,0,41,0,1,1,59,386,36.48,172,16.26,183,17.3,185,17.49,132,12.48,111,1058,2,9,36.0,5,20.0,11,44.0,25,42.32,5,0,0,0,0,0,0,0,0
94,65846.0,81,4,1,75,0,0,0,68,562,54.09,81,7.8,276,26.56,80,7.7,40,3.85,81,1039,1,6,40.0,3,20.0,6,40.0,15,69.27,4,0,0,0,0,0,0,0,0
95,87195.0,69,2,1,61,0,0,0,35,217,20.49,76,7.18,690,65.16,50,4.72,26,2.46,38,1059,1,3,15.79,11,57.89,5,26.32,19,55.74,1,0,0,0,0,0,0,0,1
96,24594.0,74,0,0,41,1,0,1,94,1,5.0,3,15.0,6,30.0,10,50.0,0,0.0,9,20,1,1,25.0,0,0.0,3,75.0,4,5.0,5,0,0,0,0,0,0,0,0
97,49096.0,77,2,1,56,1,1,2,15,144,80.0,1,0.56,32,17.78,2,1.11,1,0.56,7,180,4,4,44.44,1,11.11,4,44.44,9,20.0,7,0,0,0,0,0,0,0,0
98,52413.0,84,2,1,51,0,2,2,56,295,34.91,106,12.54,271,32.07,75,8.88,98,11.6,65,845,4,6,27.27,4,18.18,12,54.55,22,38.41,6,0,0,0,0,0,0,0,0
99,38557.0,86,2,3,42,1,0,1,17,76,64.41,3,2.54,31,26.27,4,3.39,4,3.39,27,118,2,3,42.86,1,14.29,3,42.86,7,16.86,7,0,0,0,0,0,0,0,0
100,89058.0,86,3,1,60,0,0,0,18,454,56.26,194,24.04,106,13.14,31,3.84,22,2.73,43,807,1,5,38.46,4,30.77,4,30.77,13,62.08,2,0,0,0,0,0,0,0,0
101,77298.0,75,2,0,41,0,1,1,46,425,47.75,115,12.92,292,32.81,23,2.58,35,3.93,79,890,1,6,26.09,6,26.09,11,47.83,23,38.7,3,0,0,0,0,0,0,0,0
102,68126.0,87,4,3,29,0,0,0,40,1332,76.82,17,0.98,311,17.94,23,1.33,51,2.94,86,1734,1,7,43.75,4,25.0,5,31.25,16,108.38,9,0,0,0,0,1,0,1,1
103,57288.0,68,3,0,57,0,1,1,27,527,96.17,0,0.0,21,3.83,0,0.0,0,0.0,60,548,3,8,47.06,1,5.88,8,47.06,17,32.24,6,0,0,0,0,1,0,1,0
104,86037.0,85,2,3,29,0,0,0,95,490,69.21,44,6.21,125,17.66,29,4.1,20,2.82,22,708,1,6,25.0,7,29.17,11,45.83,24,29.5,3,0,0,0,0,1,1,2,1
105,43974.0,86,4,1,40,1,0,1,19,378,78.91,0,0.0,101,21.09,0,0.0,0,0.0,72,479,5,6,37.5,4,25.0,6,37.5,16,29.94,7,0,0,0,0,0,0,0,0
106,50785.0,77,2,3,58,1,1,2,27,64,73.56,1,1.15,21,24.14,0,0.0,1,1.15,27,87,2,2,33.33,1,16.67,3,50.0,6,14.5,6,0,0,0,0,0,0,0,0
107,90765.0,73,2,1,50,0,0,0,25,547,32.35,99,5.85,812,48.02,151,8.93,82,4.85,33,1691,0,4,26.67,6,40.0,5,33.33,15,112.73,1,0,1,0,0,0,1,2,0
108,36550.0,84,1,1,42,1,0,1,74,47,10.28,90,19.69,94,20.57,123,26.91,103,22.54,120,457,5,9,60.0,1,6.67,5,33.33,15,30.47,9,0,0,0,0,0,0,0,0
109,30753.0,79,1,0,53,1,1,2,85,12,23.53,5,9.8,25,49.02,0,0.0,9,17.65,30,51,2,1,20.0,1,20.0,3,60.0,5,10.2,5,0,0,0,0,0,0,0,0
110,21918.0,75,2,0,51,1,0,1,37,1,3.33,6,20.0,7,23.33,11,36.67,5,16.67,3,30,2,2,40.0,0,0.0,3,60.0,5,6.0,6,0,0,0,0,0,0,0,0
111,56129.0,80,3,0,67,0,1,1,65,320,52.29,48,7.84,133,21.73,39,6.37,72,11.76,48,612,4,6,33.33,2,11.11,10,55.56,18,34.0,4,0,0,0,0,0,0,0,0
112,32557.0,72,3,3,53,1,0,1,13,34,48.57,3,4.29,29,41.43,0,0.0,4,5.71,10,70,3,2,33.33,1,16.67,3,50.0,6,11.67,5,0,0,0,0,0,0,0,1
113,19510.0,77,3,1,35,2,0,2,63,9,39.13,0,0.0,7,30.43,3,13.04,4,17.39,7,23,2,1,25.0,0,0.0,3,75.0,4,5.75,7,0,0,0,0,0,0,0,0
114,30992.0,82,2,2,44,1,0,1,83,17,41.46,0,0.0,14,34.15,7,17.07,3,7.32,2,41,1,1,25.0,0,0.0,3,75.0,4,10.25,7,0,0,0,0,0,0,0,0
115,101970.0,83,2,3,37,0,0,0,69,722,74.66,27,2.79,102,10.55,44,4.55,72,7.45,168,967,0,6,22.22,8,29.63,13,48.15,27,35.81,2,0,1,0,0,1,1,3,1
116,71488.0,84,1,0,55,0,0,0,87,162,41.86,33,8.53,124,32.04,40,10.34,28,7.24,172,387,2,3,21.43,4,28.57,7,50.0,14,27.64,1,0,0,0,0,0,0,0,0
117,79607.0,82,2,3,36,0,0,0,37,450,26.36,133,7.79,951,55.71,173,10.13,0,0.0,216,1707,1,3,20.0,6,40.0,6,40.0,15,113.8,1,0,0,0,0,0,0,0,1
118,54348.0,68,3,1,67,1,1,2,51,70,81.4,0,0.0,16,18.6,0,0.0,0,0.0,4,86,2,2,33.33,0,0.0,4,66.67,6,14.33,6,0,0,0,0,0,0,0,0
119,77376.0,69,4,0,64,1,1,2,72,492,75.81,19,2.93,110,16.95,16,2.47,12,1.85,12,649,4,6,31.58,3,15.79,10,52.63,19,34.16,4,0,0,0,0,0,0,0,0
120,62998.0,77,2,1,68,0,1,1,10,120,29.63,58,14.32,73,18.02,65,16.05,89,21.98,58,405,5,5,35.71,4,28.57,5,35.71,14,28.93,5,0,0,0,0,0,0,0,0
121,61331.0,83,3,4,62,1,1,2,42,534,90.36,5,0.85,47,7.95,0,0.0,5,0.85,41,591,5,11,61.11,1,5.56,6,33.33,18,32.83,8,0,0,0,0,0,0,0,0
122,73448.0,72,2,1,51,0,0,0,10,236,39.66,106,17.82,189,31.76,23,3.87,41,6.89,130,595,1,7,38.89,2,11.11,9,50.0,18,33.06,4,0,0,0,0,0,0,0,0
123,41551.0,78,4,1,56,1,1,2,51,220,85.94,0,0.0,33,12.89,3,1.17,0,0.0,23,256,5,5,45.45,1,9.09,5,45.45,11,23.27,8,0,0,0,0,0,0,0,0
124,62981.0,83,4,0,53,0,0,0,21,796,53.71,14,0.94,590,39.81,38,2.56,44,2.97,0,1482,1,4,18.18,5,22.73,13,59.09,22,67.36,3,0,0,0,0,1,0,1,0
125,9548.0,90,0,2,44,1,0,1,31,0,0.0,1,5.0,3,15.0,10,50.0,6,30.0,9,20,2,1,25.0,0,0.0,3,75.0,4,5.0,8,0,0,0,0,0,0,0,0
126,33762.0,79,4,1,61,2,1,3,61,53,58.89,1,1.11,34,37.78,2,2.22,0,0.0,16,90,3,2,33.33,2,33.33,2,33.33,6,15.0,8,0,0,0,0,0,0,0,0
127,35860.0,69,4,4,47,1,1,2,37,15,51.72,0,0.0,8,27.59,4,13.79,2,6.9,20,29,2,1,25.0,1,25.0,2,50.0,4,7.25,5,0,0,0,1,0,0,1,1
128,36921.0,79,4,2,55,1,1,2,74,17,50.0,1,2.94,12,35.29,3,8.82,1,2.94,4,34,2,2,40.0,0,0.0,3,60.0,5,6.8,7,0,0,0,0,0,0,0,0
129,92859.0,88,3,3,28,0,0,0,46,962,46.77,61,2.97,921,44.77,52,2.53,61,2.97,20,2057,1,5,23.81,4,19.05,12,57.14,21,97.95,2,0,0,0,0,0,0,0,0
130,65104.0,75,3,0,44,0,1,1,4,738,73.58,0,0.0,232,23.13,13,1.3,20,1.99,50,1003,2,3,20.0,5,33.33,7,46.67,15,66.87,7,0,0,0,0,0,0,0,1
131,86111.0,82,2,1,58,0,0,0,73,399,31.69,28,2.22,756,60.05,36,2.86,40,3.18,126,1259,1,5,22.73,7,31.82,10,45.45,22,57.23,2,0,0,0,0,0,0,0,0
